2025-06-10 09:28:48,633 | INFO | __main__ | ============================================================
2025-06-10 09:28:48,634 | INFO | __main__ | ============================================================
2025-06-10 09:28:48,636 | INFO | __main__ | ==================================================
2025-06-10 09:28:48,636 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Created adaptive config for kelp_farm site:
2025-06-10 09:28:48,637 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Environmental conditions: cloud_cover=5.0%, turbidity=low
2025-06-10 09:28:48,639 | INFO | __main__ |    NDRE threshold: 0.088
2025-06-10 09:28:48,639 | INFO | __main__ |    FAI threshold: 0.024
2025-06-10 09:28:48,639 | INFO | __main__ |    Min cluster size: 8
2025-06-10 09:28:48,639 | INFO | __main__ |    Morphology: Yes
2025-06-10 09:28:48,640 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Created adaptive config for kelp_farm site:
2025-06-10 09:28:48,640 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Environmental conditions: cloud_cover=35.0%, turbidity=medium
2025-06-10 09:28:48,642 | INFO | __main__ |    NDRE threshold: 0.096
2025-06-10 09:28:48,642 | INFO | __main__ |    FAI threshold: 0.039
2025-06-10 09:28:48,643 | INFO | __main__ |    Min cluster size: 8
2025-06-10 09:28:48,643 | INFO | __main__ |    Morphology: Yes
2025-06-10 09:28:48,643 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Created adaptive config for kelp_farm site:
2025-06-10 09:28:48,644 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Environmental conditions: cloud_cover=15.0%, turbidity=high
2025-06-10 09:28:48,646 | INFO | __main__ |    NDRE threshold: 0.072
2025-06-10 09:28:48,646 | INFO | __main__ |    FAI threshold: 0.042
2025-06-10 09:28:48,647 | INFO | __main__ |    Min cluster size: 11
2025-06-10 09:28:48,647 | INFO | __main__ |    Morphology: Yes
2025-06-10 09:28:48,647 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Created adaptive config for open_ocean site:
2025-06-10 09:28:48,647 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Environmental conditions: cloud_cover=20.0%, turbidity=low
2025-06-10 09:28:48,649 | INFO | __main__ |    NDRE threshold: 0.132
2025-06-10 09:28:48,649 | INFO | __main__ |    FAI threshold: 0.040
2025-06-10 09:28:48,649 | INFO | __main__ |    Min cluster size: 12
2025-06-10 09:28:48,649 | INFO | __main__ |    Morphology: Yes
2025-06-10 09:28:48,649 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Created adaptive config for coastal site:
2025-06-10 09:28:48,650 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Environmental conditions: cloud_cover=25.0%, turbidity=high
2025-06-10 09:28:48,652 | INFO | __main__ |    NDRE threshold: 0.054
2025-06-10 09:28:48,652 | INFO | __main__ |    FAI threshold: 0.028
2025-06-10 09:28:48,652 | INFO | __main__ |    Min cluster size: 9
2025-06-10 09:28:48,652 | INFO | __main__ |    Morphology: Yes
